              Australian Bureau of Statistics,,,,,,,,,,,
"31010do002_202312 National, state and territory population, Dec 2023",,,,,,,,,,,
Released at 11:30 am (Canberra time) Thu 13 Jun 2024,,,,,,,,,,,
"Table 8 Estimated resident population, by age and sex–at 30 June 2023",,,,,,,,,,,
Age (years),New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory,Australia,,
MALES,,,,,,,,,,,
80,"20,402","15,368","12,989","5,163","6,252","1,747",282,835,"63,054",,
81,"19,218","14,924","12,355","4,805","6,193","1,650",272,839,"60,266",,
82,"17,201","13,420","10,743","4,182","5,250","1,440",235,689,"53,176",,
83,"15,989","12,204","9,780","3,879","4,915","1,321",226,636,"48,962",,
84,"14,149","11,053","8,486","3,612","4,388","1,179",117,591,"43,582",,
80-84,"86,959","66,969","54,353","21,641","26,998","7,337","1,132","3,590","269,040",,
85-89,"48,786","37,792","27,822","12,306","14,667","3,774",411,"1,958","147,543",,
90-94,"20,113","15,511","10,761","5,254","5,883","1,475",148,837,"59,997",,
95-99,"4,963","3,850","2,543","1,422","1,449",307,44,184,"14,765",,
100 and over,473,406,209,169,162,30,7,22,"1,478",,
All ages,"4,150,653","3,371,933","2,704,854","916,338","1,446,352","284,250","128,145","230,265","13,235,412",,
FEMALE,,,,,,,,,,,
0,"45,946","37,442","29,377","9,186","15,299","2,646","1,695","2,476","144,086",,
1,"48,638","38,435","31,035","9,492","16,551","2,832","1,728","2,628","151,350",,
2,"46,154","38,265","29,340","9,723","16,705","2,842","1,672","2,488","147,210",,
3,"45,986","37,316","29,774","9,515","16,629","2,810","1,572","2,595","146,212",,
4,"46,386","38,527","30,459","9,742","17,030","2,847","1,627","2,609","149,253",,
0-4,"233,110","189,985","149,985","47,658","82,214","13,977","8,294","12,796","738,111",,
5,"46,899","38,737","31,098","9,798","17,437","2,871","1,585","2,600","151,052",,
6,"48,093","39,453","31,650","10,042","17,774","2,977","1,697","2,754","154,466",,
7,"49,193","40,443","33,259","10,456","18,117","3,083","1,735","2,838","159,160",,
8,"48,607","40,173","33,135","10,356","17,832","3,106","1,728","2,838","157,806",,
9,"49,450","40,013","33,969","10,525","18,085","3,200","1,688","2,848","159,807",,
5-9,"242,242","198,819","163,111","51,177","89,245","15,237","8,433","13,878","782,291",,
10,"49,852","40,583","34,226","10,618","18,016","3,197","1,788","2,842","161,139",,
11,"50,329","40,122","34,749","10,760","17,952","3,196","1,752","2,752","161,637",,
12,"49,834","39,317","34,978","10,596","17,980","3,249","1,682","2,724","160,383",,
13,"50,493","40,120","35,451","10,625","17,958","3,224","1,652","2,777","162,331",,
14,"49,837","39,125","35,302","10,749","17,523","3,419","1,583","2,604","160,164",,
10-14,"250,345","199,267","174,706","53,348","89,429","16,285","8,457","13,699","805,654",,
15,"49,825","39,384","34,841","10,935","17,893","3,331","1,608","2,553","160,402",,
16,"48,887","39,164","34,327","10,775","17,480","3,344","1,517","2,534","158,050",,
17,"47,040","37,801","33,448","10,200","16,761","3,168","1,505","2,482","152,427",,
18,"46,954","38,346","32,693","10,192","16,034","3,002","1,472","2,486","151,206",,
19,"48,769","40,659","32,931","10,463","16,262","2,844","1,512","2,708","156,173",,
15-19,"241,475","195,354","168,240","52,565","84,430","15,689","7,614","12,763","778,258",,
20,"49,266","41,020","32,663","10,411","16,199","2,762","1,551","3,243","157,139",,
21,"49,485","41,610","33,441","10,520","16,145","2,743","1,500","3,431","158,893",,
22,"51,966","43,887","34,771","10,940","16,782","2,900","1,516","3,684","166,468",,
23,"55,019","46,115","35,745","11,393","17,640","3,036","1,636","3,999","174,599",,
24,"55,724","46,750","36,193","11,557","18,067","3,282","1,889","4,030","177,513",,
20-24,"261,460","219,382","172,813","54,821","84,833","14,723","8,092","18,387","834,612",,
25,"57,369","47,826","36,883","11,818","18,695","3,240","2,047","4,113","182,026",,
26,"58,227","49,699","37,354","12,163","19,209","3,627","2,239","4,155","186,703",,
